letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url,,,,,,
개미,개:미,2,ㅁ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(1).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,1,).png
나무,나무,2,ㅁ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(2).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,2,).png
레몬,레몬,2,ㅁ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(3).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,3,).png
마늘,마늘,2,ㅁ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(4).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,4,).png
마스크,마스크,3,ㅁ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(5).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,5,).png
마우스,마우스,3,ㅁ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(6).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,6,).png
마이크,마이크,3,ㅁ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(7).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,7,).png
만두,만두,2,ㅁ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(8).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,8,).png
말,말:,1,ㅁ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(9).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,9,).png
망고,망고,2,ㅁ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(10).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,10,).png
망치,망치,2,ㅁ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(11).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,11,).png
매니큐어,매니큐어,4,ㅁ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(12).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,12,).png
매미,매미,2,ㅁ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(13).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,13,).png
멜론,멜론,2,ㅁ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(14).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,14,).png
모기,모기,2,ㅁ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(15).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,15,).png
모자,모자,2,ㅁ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(16).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,16,).png
목도리,목또리,3,ㅁ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/a/a+(17).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,a/a+(,17,).png
