letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url,,,,,,
경찰서,경찰써,3,ㅊ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(1).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,1,).png
고슴도치,고슴도치,4,ㅊ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(2).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,2,).png
고추,고추,2,ㅊ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(3).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,3,).png
구급차,구급차,3,ㅊ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(4).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,4,).png
기차,기차,2,ㅊ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(5).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,5,).png
까치,까치,2,ㅊ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(6).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,6,).png
망치,망치,2,ㅊ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(7).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,7,).png
배추,배추,2,ㅊ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(8).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,8,).png
상추,상추,2,ㅊ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(9).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,9,).png
스케치북,스케치북,4,ㅊ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(10).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,10,).png
우체국,우체국,3,ㅊ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(11).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,11,).png
유치원,유치원,3,ㅊ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(12).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,12,).png
참새,참새,2,ㅊ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(13).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,13,).png
참외,차뫼,2,ㅊ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(14).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,14,).png
책,책,1,ㅊ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(15).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,15,).png
천원,처눤,2,ㅊ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(16).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,16,).png
청진기,청진기,3,ㅊ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(17).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,17,).png
체리,체리,2,ㅊ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(18).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,18,).png
체온계,체온계,3,ㅊ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(19).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,19,).png
촛불,초뿔,2,ㅊ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(20).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,20,).png
총,총,1,ㅊ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(21).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,21,).png
축구공,축꾸공,3,ㅊ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(22).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,22,).png
치마,치마,2,ㅊ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/c/c+(23).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,c/c+(,23,).png
