letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url,,,,,,
가로등,가로등,3,ㄷ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(1).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,1,).png
계단,게ː단,2,ㄷ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(2).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,2,).png
고슴도치,고슴도치,4,ㄷ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(3).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,3,).png
낙타,낙타,2,ㄴ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(4).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,4,).png
다람쥐,다람쥐,3,ㄷ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(5).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,5,).png
다리미,다리미,3,ㄷ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(6).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,6,).png
단풍잎,단풍닙,3,ㄷ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(7).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,7,).png
달,달,1,ㄷ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(8).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,8,).png
당근,당근,2,ㄷ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(9).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,9,).png
도끼,도ː끼,2,ㄷ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(10).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,10,).png
도넛,도넏,2,ㄷ,ㄷ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(11).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,11,).png
도로,도로,2,ㄷ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(12).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,12,).png
도토리,도토리,3,ㄷ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(13).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,13,).png
돈,돈ː,1,ㄷ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(14).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,14,).png
동굴,동ː굴,2,ㄷ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(15).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,15,).png
돼지,돼ː지,2,ㄷ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(16).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,16,).png
뒤집개,뒤집깨,3,ㄷ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(17).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,17,).png
드라이기,드라이기,4,ㄷ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(18).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,18,).png
드라큘라,드라큘라,4,ㄷ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(19).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,19,).png
루돌프,루돌프,3,ㄹ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(20).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,20,).png
무당벌레,무ː당벌레,4,ㅁ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(21).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,21,).png
밴드,밴드,2,ㅂ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(22).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,22,).png
비둘기,비둘기,3,ㅂ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(23).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,23,).png
사다리,사다리,3,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(24).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,24,).png
샌드위치,샌드위치,4,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(25).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,25,).png
세면대,세ː면대,3,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(26).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,26,).png
신호등,신ː호등,3,ㅅ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/e/e+(27).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,e/e+(,27,).png
