letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url,,,,,,
개구리,개구리,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(1).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,1,).png
개나리,개ː나리,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(2).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,2,).png
고래,고래,2,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(3).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,3,).png
공룡,공:뇽,2,ㄹ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(4).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,4,).png
구름,구름,2,ㄹ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(5).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,5,).png
기린,기린,2,ㄹ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(6).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,6,).png
너구리,너구리,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(7).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,7,).png
눈사람,눈:싸람,3,ㄹ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(8).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,8,).png
다람쥐,다람쥐,3,ㄹ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(9).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,9,).png
도로,도롱,2,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(10).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,10,).png
도토리,도토리,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(11).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,11,).png
독수리,독쑤리,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(12).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,12,).png
