letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url,,,,,,
가방,가방,2,ㅂ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(1).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,1,).png
거북이,거부기,3,ㅂ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(2).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,2,).png
꿀벌,꿀벌,2,ㅂ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(3).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,3,).png
나비,나비,2,ㅂ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(4).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,4,).png
냄비,냄비,2,ㅂ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(5).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,5,).png
돛단배,돋딴배,3,ㅂ,ㄷ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(6).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,6,).png
로봇,로볻,2,ㅂ,ㄷ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(7).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,7,).png
리본,리본,2,ㅂ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(8).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,8,).png
무당벌레,무ː당벌레,4,ㅂ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(9).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,9,).png
바나나,바나나,3,ㅂ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(10).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,10,).png
바람,바람,2,ㅂ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(11).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,11,).png
바람개비,바람개비,4,ㅂ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(12).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,12,).png
바이올린,바이올린,4,ㅂ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(13).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,13,).png
바지,바지,2,ㅂ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(14).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,14,).png
바퀴,바퀴,2,ㅂ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(15).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,15,).png
반지,반지,2,ㅂ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(16).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,16,).png
반창고,반창고,3,ㅂ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(17).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,17,).png
발,발,1,ㅂ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(18).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,18,).png
밤,밤,1,ㅂ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(19).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,19,).png
배,배,1,ㅂ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(20).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,20,).png
뱀,뱀,1,ㅂ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(21).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,21,).png
버섯,버섣,2,ㅂ,ㄷ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(22).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,22,).png
버스,버스,2,ㅂ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(23).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,23,).png
번개,번개,2,ㅂ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(24).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,24,).png
변기,변기,2,ㅂ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(25).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,25,).png
별,별,1,ㅂ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(26).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,26,).png
병아리,병아리,3,ㅂ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(27).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,27,).png
병원,병ː원,2,ㅂ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(28).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,28,).png
보석,보석,2,ㅂ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(29).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,29,).png
복숭아,복쑹아,3,ㅂ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(30).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,30,).png
볼링,볼링,2,ㅂ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(31).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,31,).png
부채,부채,2,ㅂ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(32).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,32,).png
불,불,1,ㅂ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(33).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,33,).png
불가사리,불가사리,4,ㅂ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(34).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,34,).png
브로콜리,브로콜리,4,ㅂ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(35).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,35,).png
블루베리,블루베리,4,ㅂ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(36).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,36,).png
비둘기,비둘기,3,ㅂ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(37).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,37,).png
빗자루,비짜루,3,ㅂ,ㄷ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(38).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,38,).png
소방관,소방관,3,ㅂ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(39).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,39,).png
소방차,소방차,3,ㅂ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(40).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,40,).png
수박,수박,2,ㅂ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(41).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,41,).png
수영복,수영복,3,ㅂ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/q/q+(42).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,q/q+(,42,).png
