letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url
가로등,가로등,3,ㄱ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(1).png,
가위,가위,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(2).png,
가지,가지,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(3).png,
감자튀김,감자튀김,4,ㄱ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(4).png,
개구리,개구리,3,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(5).png,
개미,개미,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(6).png,
거미줄,거미줄,3,ㄱ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(7).png,
거북이,거부기,3,ㄱ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(8).png,
거울,거울,2,ㄱ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(9).png,
경찰차,경ː찰차,3,ㄱ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(10).png,
계란,게란,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(11).png,
고구마,고구마,3,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(12).png,
고래,고래,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(13).png,
고슴도치,고슴도치,4,ㄱ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(14).png,
고추,고추,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(15).png,
곰돌이,곰도리,3,ㄱ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(16).png,
구급차,구ː급차,3,ㄱ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(17).png,
구름,구름,2,ㄱ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(18).png,
귀,귀,1,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(19).png,
귀신,귀신,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(20).png,
귤,귤,1,ㄱ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(21).png,
그네,그네,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(22).png,
그릇,그륻,2,ㄱ,ㄷ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(23).png,
기린,기린,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(24).png,
기차,기차,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(25).png,
당근,당근,2,ㄱ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(26).png,
딸기,딸기,2,ㄱ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(27).png,
모기,모기,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(28).png,
무지개,무지개,3,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(29).png,
바구니,바구니,3,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(30).png,
변기,변기,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(31).png,
불가사리,불가사리,4,ㄱ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(32).png,
비둘기,비둘기,3,ㄱ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(33).png,
비행기,비행기,3,ㄱ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(34).png,
사과,사과,2,ㄱ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(35).png,
선풍기,선풍기,3,ㄱ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(36).png,
수갑,수갑,2,ㄱ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(37).png,
수건,수건,2,ㄱ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/r/r+(38).png,
