letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url,,,,,,
개나리,개ː나리,3,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(1).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,1,).png
군인,구닌,2,ㄴ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(2).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,2,).png
그네,그ː네,2,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(3).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,3,).png
나누기,나누기,3,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(4).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,4,).png
나무,나무,2,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(5).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,5,).png
나뭇잎,나문닙,3,ㄴ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(6).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,6,).png
나비,나비,2,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(7).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,7,).png
나침반,나침반,3,ㄴ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(8).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,8,).png
나팔,나팔,2,ㄴ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(9).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,9,).png
낙타,낙타,2,ㄴ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(10).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,10,).png
낙하산,나카산,3,ㄴ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(11).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,11,).png
낚싯대,낙씨때,3,ㄴ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(12).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,12,).png
난로,날ː로,2,ㄴ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(13).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,13,).png
냄비,냄비,2,ㄴ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(14).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,14,).png
냉장고,냉ː장고,3,ㄴ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(15).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,15,).png
너구리,너구리,3,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(16).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,16,).png
네모,네ː모,2,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(17).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,17,).png
넥타이,넥타이,3,ㄴ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(18).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,18,).png
노랑,노랑,2,ㄴ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(19).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,19,).png
농구공,농구공,3,ㄴ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(20).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,20,).png
농부,농부,2,ㄴ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(21).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,21,).png
눈,눈,1,ㄴ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(22).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,22,).png
느낌표,느낌표,3,ㄴ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(23).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,23,).png
마늘,마늘,2,ㄴ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(24).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,24,).png
문어,무너,2,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(25).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,25,).png
바구니,바구니,3,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(26).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,26,).png
바나나,바나나,3,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(27).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,27,).png
바늘,바늘,2,ㄴ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(28).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,28,).png
비누,비누,2,ㄴ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(29).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,29,).png
선인장,서닌장,3,ㄴ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/s/s+(30).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,s/s+(,30,).png
