letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url,,,,,,
가수,가수,2,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(1).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,1,).png
고슴도치,고슴도치,4,ㅅ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(2).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,2,).png
귀신,귀신,2,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(3).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,3,).png
립스틱,립스틱,3,ㅅ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(4).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,4,).png
마스크,마스크,3,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(5).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,5,).png
버섯,버섣,2,ㅅ,ㄷ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(6).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,6,).png
불가사리,불가사리 ,4,ㅅ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(7).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,7,).png
사과,사과,2,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(8).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,8,).png
사다리,사다리,3,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(9).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,9,).png
사마귀,사마귀,3,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(10).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,10,).png
사자,사자,2,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(11).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,11,).png
사탕,사탕,2,ㅅ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(12).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,12,).png
산타,산타,2,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(13).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,13,).png
삼,삼,1,ㅅ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(14).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,14,).png
삽,삽,1,ㅅ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(15).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,15,).png
상어,상어,2,ㅅ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(16).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,16,).png
상자,상자,2,ㅅ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(17).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,17,).png
색연필,생년필,3,ㅅ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(18).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,18,).png
색종이,색쫑이,3,ㅅ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(19).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,19,).png
샤워기,샤워기,3,ㅅ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(20).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,20,).png
선인장,서닌장,3,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/t/t+(21).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,t/t+(,21,).png
