letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url,,,,,,
가재,가재,2,ㅈ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(1).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,1,).png
거미줄,거미줄,3,ㅈ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(2).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,2,).png
뒤집개,뒤집깨,3,ㅈ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(3).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,3,).png
모자,모자,2,ㅈ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(4).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,4,).png
무지개,무지개,3,ㅈ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(5).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,5,).png
박쥐,박:쮜,2,ㅈ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(6).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,6,).png
사자,사자,2,ㅈ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(7).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,7,).png
상자,상자,2,ㅈ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(8).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,8,).png
선인장,서닌장,3,ㅈ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(9).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,9,).png
소시지,소시지,3,ㅈ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(10).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,10,).png
의자,의자,2,ㅈ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(11).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,11,).png
자동차,자동차,3,ㅈ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(12).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,12,).png
자두,자두,2,ㅈ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(13).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,13,).png
자전거,자전거,3,ㅈ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(14).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,14,).png
잠바,잠바,2,ㅈ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(15).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,15,).png
잠옷,자몯,2,ㅈ,ㄷ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(16).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,16,).png
잠자리,잠자리,3,ㅈ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(17).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,17,).png
장갑,장:갑,2,ㅈ,ㅂ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/w/w+(18).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,w/w+(,18,).png
